scale_name,root,column_c,column_d,column_e,column_f
Sus4Pentatonic,0,2,5,7,10
M3MjPentatonic,0,3,5,8,10
Chinese6Pentatonic,0,4,6,7,11
Han-kumoi,0,2,5,7,8
In,0,1,5,7,8
Yo,0,2,5,7,9
Indonesian2Pentatonic,0,1,6,7,8
Indonesian3Pentatonic,0,4,5,7,11
NoName,0,1,4,7,9
AlteredPentatonic,0,1,5,7,9
BalinesePentachord1,0,1,4,6,7
"Blues#V",0,3,5,6,11
BluesPentacluster1,0,1,2,3,6
BluesPentaCluster3,0,1,2,3,5
BluesPentaCluster5,0,1,2,3,
BluesPentaCluster6,0,1,2,3,5
"Blues#Vallflats",0,3,5,6,11
Center-ClusterPentaMirror,0,3,4,5,8
Chaio1,0,2,5,8,10
ChromaticPentaMirror,0,1,2,3,4
DominantPentatonic,0,2,4,7,10
Slendro,0,2,5,7,9
HalfDiminishedplusb8,0,3,6,10,11
JapanesePentachord1,0,1,3,6,7
Kokin-Joshi,0,1,5,7,10
Kung,0,2,4,6,9
LocrianPentaMirror,0,1,3,5,6
LydianPentachord,0,2,4,6,7
MajorPentachord,0,2,4,5,7
Minor6thAdded,0,3,5,7,9
MinorPentachordChadG,0,2,3,5,7
MixolydianPentatonic1,0,4,5,7,10
OrientalPentacluster1,0,1,2,5,6
OrientalRagaGuhamano,0,2,5,9,10
RomanianBacovia1,0,4,5,8,11
SpanishPentacluster1,0,1,3,4,5
MajorPentatonic,0,2,4,7,9
MinorPentatonic,0,3,5,7,10
Pelog,0,1,3,7,8
Iwato,0,1,5,6,10
KumoiScale,0,2,3,7,9
Hirajoshi,0,2,3,7,8
Sus4,0,2,5,7,9
"Augmented,Messiaen",0,3,4,7,8
BluesDorianHexatonic1,0,2,3,4,7
BluesDorianHexatonic2,0,1,3,4,7
BluesMinorallflats,0,3,5,6,7
BluesMinorMaj7,0,3,5,6,7
"ChromaticHexaMirrorall#",0,1,2,3,4
ChromaticHexaMirrorallb,0,1,2,3,4
Double-PhrygianHexatonic,0,1,3,5,6
EskimoHexatonic1,0,2,4,6,8
EskimoHexatonic2,0,2,4,6,8
GenusSecundum,0,4,5,7,9
Hawaiian,0,2,3,7,9
HonchoshiPlagalForm,0,1,3,5,6
"Lydian#2Hexatonic",0,3,4,7,9
Lydianb3Hexatonic,0,3,4,7,9
LydianHexatonic,0,2,4,7,9
